#, Name, Team,Total,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,Gender
843,Lazaro Pepe,,8,8,,,,,,,,,,,,Bot
844,Nathan Allen,,8,,,,,,,,,,,8,,Bot
845,Nora Wolf,,8,,,,8,,,,,,,,,Bot
846,Sara Al Shahwani,,8,,,,,,,,,,,8,,Bot
847,Sarah Backer,Titans,8,,,,,,8,,,,,,,Bot
848,Svetlana Volny,,8,8,,,,,,,,,,,,Bot
849,Andrée Noel,,7,,,,,,,,,,7,,,Bot
850,Ann Laugesen,HCOM,7,,,,,,,,,7,,,,Bot
851,Anne Bakker,Orbit,7,,,7,,,,,,,,,,Bot
852,Clarissa Greene,,7,,,,,,,7,,,,,,Bot
853,Diana König,Monova,7,,,,,,7,,,,,,,Bot
854,Heidi Krüger,,7,,,,,,,,7,,,,,Bot
855,Joan Mills,,7,,,,,,,,7,,,,,Bot
856,Karine Dufour,,7,7,,,,,,,,,,,,Bot
857,Kathleen Hogan,Kumori,7,,,7,,,,,,,,,,Bot
858,Laëtitia Gautier,,7,7,,,,,,,,,,,,Bot
859,Liselotte Kofoed,Douvan,7,,,,,7,,,,,,,,Bot
860,Lusekelo Nyirenda,Aguda,7,,,,7,,,,,,,,,Bot
861,Manish Tamang,,7,,7,,,,,,,,,,,Bot
862,Max Thomas,Capital,7,,,,,,,7,,,,,,Bot
863,Mira Huber,Hinal,7,,,,,,,,,,,7,,Bot
864,Miriam Nagar,Monova,7,,,,,,,,,7,,,,Bot
865,Pieteer Vermeulen,,7,,,,7,,,,,,,,,Bot
866,Viivi Aho,,7,,,,,,4,,,,3,,,Bot
867,Adam Conway,Nitro,6,,,,6,,,,,,,,,Bot
868,Alma Mendez,,6,,,,,,,,,6,,,,Bot
869,Brendan Logan,Patriot,6,,,,,,6,,,,,,,Bot
870,Charlotta Lindgren,Nitro,6,,,6,0,,,,,,,,,Bot
871,Cornelius Foley,,6,,,6,,,,,,,,,,Bot
872,david durok,,6,6,,,,,,,,,,,,Male
873,Delfina Varela,,6,,,,,,,,,,,6,,Bot
874,Evelyne Robin,Zonkify,6,,,,,,,,,,,6,,Bot
875,Gaylen May,,6,,,,6,,,,,,,,,Bot
876,Jebediah Glass,Roklit,6,,6,,,,,,,,,,,Bot
877,Karin Ali,,6,,,,,,,,6,,,,,Bot
878,Lars Myhre,Douvan,6,,,,,,,,,6,,,,Bot
879,Lotte De,,6,,,,,,,6,,,,,,Bot
880,Maria Koch,Saint,6,6,,,,,,,,,,,,Bot
881,Melanie Zimmermann,,6,,,,,,6,,,,,,,Bot
882,Roma Cordoba,Roklit,6,,,,,,,,,,6,,,Bot
883,Susanne Lund,,6,,,,6,,,,,,,,,Bot
884,Eleonora Poli,Titans,5,,,,,,,,,5,,,,Bot
885,Isabelle Clarke,Heat,5,,,,,,,5,,,,,,Bot
886,Jenny Forsberg,HCOM,5,,,5,,,,,,,,,,Bot
887,Kaisa Hänninen,,5,,,,,,,,,5,,,,Bot
888,Laura Sala,Formix,5,,,,,,,5,,,,,,Bot
889,Marcel Hoekstra,Saint,5,,,,,,5,,,,,,,Bot
890,Neil Perron,,5,,,,,,,,,,5,,,Bot
891,Nikola Rodić,,5,5,,,,,,,,,,,,Bot
892,Rachelle McDonald,Patriot,5,5,,,,,,,,,,,,Bot
893,Ronald Richards,Capital,5,,,,,,,,,,,5,,Bot
894,Shin Don,,5,,5,,,,,,,,,,,Bot
895,Shmeul Barukh,,5,,,,,5,,,,,,,,Bot
896,Beau Lock 58,,4,,,,,,,,,,,4,,Male
897,David De,,4,,,4,,,,,,,,,,Bot
898,Devon Klein,,4,,4,,,,,,,,,,,Bot
899,Huw Jarse 58,,4,,,,,,,,,4,,,,Male
900,Isla Kärkkäinen,Heat,4,,,,,,4,,,,,,,Bot
901,Liam Baldacchino,Ampex,4,,,4,0,,,,,0,,,,Bot
902,Malinda Walton,,4,,,,,,,4,0,,,,,Bot
903,Nicolas Smets,Ampex,4,,,,,,,,,,4,,,Bot
904,Sanford Valencia,,4,,,,,,,4,,,,,,Bot
905,Zane Ali,HCOM,4,4,,,,,,,,,,,,Bot
906,Craig Paquette,eVOX,3,,,,,,,,,,,3,,Bot
907,Danylo Myshchenko,,3,,3,,,,,,,,,,,Bot
908,Emmanuel Peña,,3,,,,,,,3,,,,,,Bot
909,Gabriel Mendez,,3,,,,,3,,,,,,,,Bot
910,Izumi Takahashi,,3,,,,,,,,,3,,,,Bot
911,Joshua Shimmin,,3,,,,,,,3,,,,,,Bot
912,Kadija Bah,Windsail,3,,,3,,,,,,,,,,Bot
913,Liam Nobbs,Fable,3,3,,,,,,,,,,,,Bot
914,Lotte Claes,Fujikai,3,3,,,,,,,,,,,,Bot
915,Luis Romero,,3,,,3,,,,,,,,0,,Bot
916,Valentina Gaćinović,,3,,,,,,3,,,,,,,Bot
917,Youssef Ben Mansour,Eckleson,3,,,,,,3,,,,,,,Bot
918,Aaron Beveridge,,2,,2,,,,,,,,,,,Bot
919,Angela Swanson,,2,,,,,,,2,,,,,,Bot
920,Carmen Samuels,,2,2,,,,,,,,,,,,Bot
921,Freddie Jenkins,,2,,,2,,,,,,,,0,,Bot
922,Jean-Pierre Brunet,,2,,,,,,,,,,,2,,Bot
923,Tommy Owen,,2,,,,,,2,,,,,,,Bot
924,Noel Jordan,,1,,,,0,,,,,,,1,,Bot
925,Paola Beretta,,1,1,,,,,,,,,,,,Bot
