#, Name, Team,Total,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,Gender
293,Jean-Pierre Roux,,41,,,,,,,41,,,,,,Bot
294,Jennie Poole,Hector,41,41,,,,,,,,,,,,Bot
295,John Maas,,41,,,41,,,,,,,,,,Bot
296,Kalel Cabral,,41,,,41,,,,,,,,,,Bot
297,Koa Rapu,,41,,,,,,,,41,,,,,Bot
298,Kārlis Stabiņš,,41,,,,,,41,,,,,,,Bot
299,Leni Engel,,41,,,,,,41,,,,,,,Bot
300,René Lassen,,41,,,,,,,,,41,,,,Bot
301,Simona Ferretti,,41,,,,,,41,,,,,,,Bot
302,Tobias Müller,Krowen,41,,,,,,,,,41,,,,Bot
303,Anouk Van der Berg,,40,,,,40,,,,,,,,,Bot
304,Beihe Liew,,40,,,,40,,,,,,,,,Bot
305,Cindy Lavoie,,40,28,,,,,12,,,,,,,Bot
306,Célia Laurent,,40,,,,,,,,,,,40,,Bot
307,Dylan Mifsud,,40,,,,,,,40,,,,,,Bot
308,Espen Johannessen,Kumori,40,,,,,,40,,,,,,,Bot
309,Fabiana Barone,,40,40,,,,,,,,,,,,Bot
310,Fredrick Peck,Delta,40,,,,,,40,,,,,,,Bot
311,Lynne Hahn,Hinal,40,,40,,,,,,,,,,,Bot
312,Natália Domingues,Formix,40,,,,,,,,,,40,,,Bot
313,Nayao Wong,,40,,,40,,,,,,,,,,Bot
314,Noora Al Tamimi,Base,40,,,,,40,,,,,,,,Bot
315,Tim Jansen,,40,,,,,,,,40,,,,,Bot
316,Trevor Stanton,Heat,40,,,,,,40,,,,,,,Bot
317,Zora Bakalov,AI Thunder,40,,,,,,,,,40,,,,Bot
318,Hyuk Nang,Aria Olefson,39,,,,,,39,,,,,,,Bot
319,Håkan Holmgren,,39,39,,,,,,,,,,,,Bot
320,Jerry Saunders,,39,39,,,,,,,,,,,,Bot
321,Jonathan Cohen,Systech,39,,,,39,,,,,,,,,Bot
322,Lemuel Kerr,Orbit,39,,,,,,,,,,39,,,Bot
323,Lola Legrand,Fiber Shot,39,,,,,,,39,,,,,,Bot
324,Patrice Lemoine,,39,,,,39,,,,,,,,,Bot
325,Raffaella Ferri,,39,,39,,,,,,,,,,,Bot
326,Saskia Dekker,Hinal,39,,,,,,,,39,,,,,Bot
327,Sergio Martini,Systech,39,,,,,39,,,,,,,,Bot
328,Vera Calado,,39,,,,,,,,,,,39,,Bot
329,Yuyi Yoong,,39,,,,,,,,,39,,,,Bot
330,Ana Soler,,38,,38,,,,,,,,,,,Bot
331,Anouk De Jong,,38,,,,,,,,,38,,,,Bot
332,Elisabeth Laurent,,38,,,,,,,,38,,,,,Bot
333,Galen Portillo,,38,,,,,,,,,,,38,,Bot
334,Guillaume Bourgeois,,38,,,,,,38,,,,,,,Bot
335,Helena König,,38,,,,,,,38,,,,,,Bot
336,Hugo Allen,,38,,,,,,,,,,,38,,Bot
337,Jan Brouwer,,38,,,,,,,,38,,,,,Bot
338,Louis Neill,,38,,,38,,,,,,,,,,Bot
339,Lynne Todd,,38,,,,38,,,,,,,,,Bot
340,Mario Angelini,,38,38,,,,,,,,,,,,Bot
341,Mauri Leinonen,Ampex,38,,,,38,,,,,,,,,Bot
342,Megumi Takata,Saitama,38,,,,,,,38,,,,,,Bot
343,Mohamed Sparks,,38,,,38,,,,,,,,,,Bot
344,Ralph Leach,Orbit,38,,,,,,,,,,38,,,Bot
345,Simone Ziegler,Formix,38,38,,,,,,,,,,,,Bot
346,Xianquan Lui,,38,,,,,38,,,,,,,,Bot
347,Ahmed Rosales,,37,,,,,,,,37,,,,,Bot
348,Anton Klein,Dashix,37,,,,,,37,,,,,,,Bot
349,Blair Kaur,,37,,,37,,,,,,,,,,Bot
350,Dobroslav Davidovsky,,37,,,,,,,,37,,,,,Bot
351,Francisco Araújo,,37,,,,,,,,,,,37,,Bot
352,Ineke Van Vliet,,37,,,,,37,,,,,,,,Bot
353,Ingeborg Carlsson,,37,,,,37,,,,,,,,,Bot
354,Jaime Ibañez,YES,37,,,,,,,37,,,,,,Bot
355,Laverne Good,,37,28,,,,,,9,,,,,,Bot
356,Lorenzo Stefanelli,,37,,,,,,,,,,37,,,Bot
357,Marco Richmond,Aspire,37,,,,,,37,,,,,,,Bot
358,Matylda Zając,Fujikai,37,,,,,,12,,,,,25,,Bot
359,Tatjana Ilves,,37,,,,,,37,,,,,,,Bot
360,Yaroslava Skolnick,,37,37,,,,,,,,,,,,Bot
361,Ahlam Mia,,36,,36,,,,,,,,,,,Bot
362,Ami Taketa,,36,,,,,36,,,,,,,,Bot
363,André Barroso,,36,,,,,,,36,,,,,,Bot
364,Benny Erichsen,,36,,,,,,36,,,,,,,Bot
365,Els Van Dam,Kumori,36,,,,,,,,,36,,,,Bot
366,Erna Blackwell,Systech,36,,,,,,36,,,,,,,Bot
367,Flamur Tafa,,36,,,,,,,,36,,,,,Bot
368,Ibrahima Camara,Aria Olefson,36,,,,,5,,,,,,31,,Bot
369,Ingrid Janssen,Hector,36,36,,,,,,,,,,,,Bot
370,Janine Wolfe,Heat,36,36,,,,,,,,,,,,Bot
371,Jordan Hoffmann,Aria Olefson,36,,,,,,36,,,,,,,Bot
372,Klaus Danielsen,,36,,,36,,,,,,,,,,Bot
373,Namkyu Byeon,,36,,,,36,,,,,,,,,Bot
374,Niki Vasileiou,Saint,36,,,,36,,,,,,,,,Bot
375,Nils Schulz,,36,,,,,,,,,,36,,,Bot
376,Nitai Levy,,36,,,,36,,,,,,,,,Bot
377,René Lucas,,36,,,36,,,,,,,,,,Bot
378,Victor Mendonça,,36,,,,,,,,,,,36,,Bot
379,Aase Svenningsen,Fujikai,35,35,,,,,,,,,,,,Bot
380,Aquilino Romero,HCOM,35,,,,,,35,,,,,,,Bot
381,Arlo Healy,,35,,,,,,,35,,,,,,Bot
382,Daniel Osorio,Saitama,35,,,35,,,,,,,,,,Bot
383,Dietmar Winkler,,35,,,,,,,,,,35,,,Bot
384,Elliot Conner,,35,,,,,,,,,,,35,,Bot
385,Evelyn Roberts,,35,,,35,,,,,,,,,,Bot
386,Florence Gaillard,Kumori,35,35,,,,,,,,,,,,Bot
387,Jarvis Reilly,Aspire,35,,,,,,35,,,,,,,Bot
388,Jochen Beck,Aspire,35,,,,,,,35,,,,,,Bot
389,Kaoru Hayashi,,35,,,,,,35,,,,,,,Bot
390,Olga Grabowska,,35,,,,,,,,,,,35,,Bot
391,Oliver Berggren,,35,,,,,,,,,35,,,,Bot
392,Pauli Kettunen,Optech,35,,,,16,,,19,,,,,,Bot
393,René Meunier,Titans,35,,,,,35,,,,,,,,Bot
394,Aaron Watson,,34,,,,,,,,,34,,,,Bot
395,Chester Rosas,Nuvio,34,,,,,,34,,,,,,,Bot
396,Christian Nistri,Allkin CC,34,33,1,,,,,,,,,,,Male
397,Emmanuel Escobar,Fable,34,,34,,,,,,,,,,,Bot
398,Evie Mackenzie,,34,,,,,,,,,,34,,,Bot
399,Gale Dean,,34,,,,,,,34,,,,,,Bot
400,Geneva Dawson,,34,,,,,,,,,34,,,,Bot
401,Goran Smyk,Aspire,34,,,,,,,,,,,34,,Bot
402,Gulmira Ismailova,,34,34,,,,,,,,,,,,Bot
403,Jaap De Bruin,YES,34,,,34,,,,,,,,,,Bot
404,Jonas Quaderer,,34,,,,,,,34,,,,,,Bot
405,Jos Koster,Ampex,34,,,,,,,,,,,34,,Bot
406,Maxwell Shaffer,Zonkify,34,,,,,,34,,,,,,,Bot
407,Po Grasso,,34,34,,,,,,,,,,,,Bot
408,Ricardo Neves,Ampex,34,,,,,,34,,,,,,,Bot
409,Said Olimov,,34,,,,34,,,,,,,,,Bot
410,Alice Russell,,33,,33,,,,,,,,,,,Bot
411,Danny Schmidt,,33,,,,,,,33,,,,,,Bot
412,Eva Bernal,,33,,,,,,33,,,,,,,Bot
413,Feodora Plachkov,Optech,33,,,,,,,,33,,,,,Bot
414,Flora Mackie,Douvan,33,,,33,,,,,,,,,,Bot
415,Giuseppe Rossi,Saitama,33,3,,,14,,,,,16,,,,Bot
416,Grant James,,33,,,33,,,,,,,,,,Bot
417,Guillaume Green,,33,,,,,,33,,,,,,,Bot
418,Judson Richard,,33,,,,,,33,,,,,,,Bot
